,recommend,sentiment_analysis,user_id,user_id,playtime_forever,developer,year,price,id,genres
0,1.0,2.0,76561197970982479,76561198070674850,0.0,Kotoshiro,2018.0,4.99,761140.0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1,1.0,2.0,js41637,leozinhodelas,0.0,Secret Level SRL,2018.0,0,643980.0,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
2,1.0,2.0,evcentric,76561198056903880,0.0,Poolians.com,2017.0,0,670290.0,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
3,1.0,2.0,doctr,76561198123074348,0.0,彼岸领域,2017.0,0.99,767400.0,"['Action', 'Adventure', 'Casual']"
4,1.0,2.0,maplemage,76561198070585472,0.0,Trickjump Games Ltd,2018.0,3.99,772540.0,"['Action', 'Adventure', 'Simulation']"
5,1.0,0.0,Wackky,peaceza1956,0.0,Poppermost Productions,2018.0,9.99,774276.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
6,1.0,2.0,76561198079601835,Mamski,598.0,Poppermost Productions,2018.0,18.99,774277.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
7,1.0,2.0,MeaTCompany,lennas,0.0,Poppermost Productions,2018.0,29.99,774278.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
8,1.0,0.0,76561198089393905,76561198008943528,609.0,RewindApp,2018.0,,768800.0,"['Casual', 'Indie', 'Racing', 'Simulation']"
9,1.0,2.0,76561198156664158,76561198076696353,19.0,Stegalosaurus Game Development,2018.0,10.99,770380.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
10,1.0,2.0,76561198077246154,76561198000435345,114.0,Copperpick Studio,2018.0,3.99,768880.0,"['Casual', 'Indie']"
11,1.0,2.0,WeiEDKrSat,NEEDforSHEEP,599.0,Ghulam Jewel,2018.0,2.99,765320.0,"['Casual', 'Indie', 'Simulation']"
12,1.0,2.0,thequeenpanda,76561198045899920,31.0,Apillo,2018.0,1.5899999999999999,773650.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
13,1.0,2.0,death-hunter,76561198039197193,0.0,Poppermost Productions,2018.0,14.99,774271.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
14,1.0,2.0,DJKamBer,76561198101396189,22.0,Apillo,2018.0,1.99,773690.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
15,1.0,2.0,Rainbow-Dashie,dellerd,0.0,Poppermost Productions,2018.0,59.99,774279.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
16,0.0,0.0,76561198043472122,76561198045536474,273.0,Tero Lunkka,2018.0,0.99,768060.0,"['Action', 'Adventure', 'Indie']"
17,1.0,2.0,MarbleShrine,76561198046874254,1424.0,FrozenPepper,2017.0,2.99,775880.0,"['Racing', 'Simulation', 'Sports']"
18,1.0,2.0,PPanther,76561198072840736,618.0,FrozenPepper,2017.0,2.99,775881.0,"['Racing', 'Simulation', 'Sports']"
19,1.0,2.0,devvonst,Wubs123,357.0,Casey Labrack,2018.0,4.99,653960.0,"['Action', 'Indie']"
20,1.0,2.0,Fr0stedLine,gwayne,0.0,,2018.0,4.99,777910.0,
21,1.0,2.0,starkillershadow553,hihihello1234,0.0,Stainless Games Ltd,1997.0,9.99,282010.0,"['Action', 'Indie', 'Racing']"
22,1.0,2.0,76561198058373434,killbunny38,861.0,Valve,1998.0,9.99,70.0,['Action']
23,1.0,0.0,76561198048353577,76561198034748949,539.0,dev4play,2016.0,1.99,752360.0,"['Action', 'Indie', 'RPG']"
24,0.0,0.0,76561198066046412,76561198068145714,40.0,BlueLine Games,2018.0,,520680.0,"['Casual', 'Indie', 'Strategy']"
25,1.0,2.0,tru_mu_,76561197970738784,106.0,Games by Brundle,2018.0,,690410.0,['Action']
26,1.0,2.0,76561198070565427,76561198045044603,67.0,ETGgames,2018.0,0.99,766850.0,"['Casual', 'Indie', 'Simulation']"
27,1.0,2.0,SavageEeEe,76561198036955864,1597.0,ProjectorGames,2018.0,,413120.0,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation', 'Sports', 'Strategy']"
28,1.0,0.0,76561198076909484,76561198065725333,2459.0,Unknown Indie Devs,2017.0,,773120.0,"['Adventure', 'Casual', 'Indie']"
29,1.0,2.0,KanadeTheNeko,E007,0.0,The Commander,2018.0,8.99,754360.0,"['Action', 'Adventure', 'RPG']"
30,1.0,2.0,Leaf_Light_Moscow,Heckler_Tepes,1215.0,"lalalaZero,Urbanoff",2018.0,0.99,716110.0,"['Adventure', 'Casual', 'Indie', 'RPG']"
31,1.0,2.0,GoAwayZach,MIN31496,0.0,Strategy First,2006.0,6.99,1640.0,['Strategy']
32,1.0,2.0,76561198054540475,76561198065951763,0.0,Strategy First,2006.0,6.99,1630.0,['Strategy']
33,1.0,2.0,76561198085547365,Aaron_ggf,0.0,Outerlight Ltd.,2006.0,9.99,2400.0,"['Action', 'Indie', 'RPG']"
34,1.0,2.0,76561198061252210,Yaybies,64.0,Ultraint,2017.0,7.99,759920.0,"['Action', 'Indie', 'Strategy', 'Early Access']"
35,1.0,2.0,OfficialShroomsy,awgonin,1156.0,Seth Albertus,2018.0,,659780.0,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
36,1.0,2.0,boydeer,andopando14,111.0,TPM.CO SOFT WORKS,2017.0,10.99,603280.0,"['Action', 'Adventure', 'Indie', 'RPG']"
37,1.0,2.0,VVillis,76561198095665530,0.0,Wonderbox Games,2017.0,9.99,753110.0,"['Casual', 'Strategy', 'Early Access']"
38,1.0,2.0,76561198083226897,stormwolf_101,187.0,Wonderbox Games,2017.0,9.99,753100.0,"['Action', 'Indie']"
39,1.0,2.0,76561198075277292,adamkupou,58.0,Mad Unicorn Games,2017.0,1.99,764280.0,"['Action', 'Adventure', 'Casual']"
40,1.0,2.0,76561198028895010,twOzOz,734.0,Emanon Studios,2017.0,0.99,758550.0,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
41,1.0,2.0,76561198170198366,76561198010398875,562.0,GlyphX Games,2005.0,9.99,3800.0,['Action']
42,1.0,2.0,diego9031,bryan4085,0.0,Introversion Software,2006.0,9.99,1520.0,"['Indie', 'Strategy']"
43,1.0,2.0,jarrodtrim,SitteNKitteNMitteN,135.0,Outerlight Ltd.,2006.0,9.99,2420.0,"['Action', 'Indie', 'RPG']"
44,1.0,2.0,76561198078738103,76561197970132164,61.0,Facepunch Studios,2006.0,9.99,4000.0,"['Indie', 'Simulation']"
45,1.0,2.0,76561198067936203,igorgalhardo,399.0,SimBin,2006.0,39.99,4230.0,['Racing']
46,1.0,2.0,76561198079770573,76561197997378650,72.0,Unknown Worlds Entertainment,2006.0,0,4900.0,"['Casual', 'Indie']"
47,1.0,2.0,76561198087586464,proletar666,0.0,"CINEMAX, s.r.o.",2006.0,4.99,2520.0,"['Casual', 'Indie']"
48,1.0,2.0,Derp-e,76561198026409973,0.0,Sick Puppies,2003.0,4.99,6200.0,['Strategy']
49,1.0,2.0,76561198070194565,TheMaglevGankTrain,0.0,Deepred,2006.0,4.99,6210.0,['Strategy']
50,1.0,2.0,Rivtex,Ron__Ron,3491.0,Funcom,2006.0,19.99,6300.0,"['Adventure', 'RPG']"
51,1.0,2.0,UTNerd24,aenronil,97.0,Bugbear Entertainment,2006.0,9.99,2990.0,['Racing']
52,0.0,2.0,sandwiches1,spinefarm,0.0,Bugbear Entertainment,2005.0,7.49,6220.0,['Racing']
53,1.0,2.0,76561198138053270,Loadingdotdotdot,168.0,"CAPCOM Co., Ltd.",2007.0,14.99,6510.0,"['Action', 'Adventure']"
54,1.0,2.0,lucaswerg,ne21,1994.0,"FireFly Studios,Firaxis Games",2006.0,9.99,3980.0,['Strategy']
55,1.0,2.0,Life-Of-Blu,76561198102820871,121.0,Arkane Studios,2002.0,4.99,1700.0,['RPG']
56,1.0,2.0,CaptianAutismo,ryudasteam,22.0,Funcom,2000.0,9.99,6310.0,"['Action', 'Adventure', 'RPG']"
57,1.0,2.0,76561198075895633,graphicoverlord,21.0,Firaxis Games,2006.0,4.99,3990.0,['Strategy']
58,1.0,2.0,TheDropix101,mrfreshasian,50.0,PopTop,2003.0,9.99,7610.0,['Strategy']
59,1.0,2.0,kube134,triangleman,0.0,"Firaxis Games,Feral Interactive (Mac)",2006.0,9.99,7600.0,['Strategy']
60,0.0,0.0,iamthekingofbrowntown,76561197982286681,0.0,PopTop,1998.0,4.99,7620.0,['Strategy']
61,1.0,2.0,MainScout,76561198036063257,39.0,Elephant Games,2007.0,4.99,2540.0,"['Casual', 'Indie']"
62,1.0,2.0,yookobz,LIkefOrVER,76.0,"MicroProse Software, Inc",1995.0,4.99,7650.0,['Strategy']
63,1.0,2.0,Posiblydead,76561198096049723,914.0,"Crystal Dynamics,Feral Interactive (Mac)",2007.0,8.99,8000.0,"['Action', 'Adventure']"
64,1.0,2.0,Mossy_Gaming,khanyucedag,0.0,"CAPCOM Co., Ltd.",2006.0,19.99,6550.0,['Action']
65,1.0,2.0,76561198102421718,76561198083377255,23.0,Telltale Games,2006.0,19.99,8200.0,"['Action', 'Adventure']"
66,1.0,0.0,76561198087407319,FatCatJohnny,376.0,id Software,1996.0,4.99,2290.0,['Action']
67,1.0,2.0,76561198056741844,76561198002212023,231.0,Freegamer,2007.0,,2570.0,"['Indie', 'RPG']"
68,1.0,2.0,sad-commie,DipShiet,0.0,Telltale Games,2006.0,19.99,8210.0,"['Action', 'Adventure']"
69,1.0,2.0,76561198030567998,piepai,75.0,id Software,1995.0,4.99,2280.0,['Action']
70,0.0,2.0,76561198010674657,76561198027441370,0.0,id Software,1995.0,14.99,9160.0,['Action']
71,1.0,2.0,Coldaniel,76561198097281049,204.0,id Software,1994.0,4.99,2300.0,['Action']
72,1.0,2.0,therealmorty,76561198028299001,4252.0,id Software,1994.0,4.99,2270.0,['Action']
73,1.0,2.0,Berserklejerker,coolderaj,0.0,Gray Matter Studios,2001.0,4.99,9010.0,['Action']
74,1.0,2.0,76561198061730629,uberguy616,5112.0,Ritual Entertainment,1997.0,2.99,9040.0,['Action']
75,1.0,2.0,YoHuNz,76561198120814021,0.0,id Software,1993.0,2.99,9000.0,['Action']
76,1.0,2.0,possessioniskey,ragingrexify,822.0,Terminal Reality,2003.0,9.99,3810.0,['Action']
77,1.0,2.0,76561198093112529,76561198035509771,147.0,Rogue Entertainment,2007.0,2.99,9030.0,['Action']
78,1.0,2.0,76561198060447950,76561198070673116,0.0,id Software,2007.0,4.99,2310.0,['Action']
79,1.0,2.0,whiteofwolfing,76561198059664860,0.0,Metamorf,2007.0,4.99,3230.0,['Strategy']
80,1.0,2.0,sergarino,Marcosvfv,215.0,Relic Entertainment,2006.0,12.99,9310.0,['Strategy']
81,1.0,2.0,76561198081962345,piepai,221.0,"2K Boston,2K Australia",2007.0,19.99,7670.0,"['Action', 'RPG']"
82,1.0,0.0,76561198073210139,76561198039085734,0.0,Relic Entertainment,2006.0,12.99,4570.0,['Strategy']
83,1.0,2.0,Nozomikat,76561198067878056,5717.0,Relic Entertainment,2006.0,12.99,4580.0,['Strategy']
84,1.0,2.0,xfluttersx,CheeseGod311,172.0,The Creative Assembly,2004.0,9.99,4760.0,['Strategy']
85,1.0,2.0,76561198056290589,Harrasian,27133.0,The Creative Assembly,2006.0,4.99,4770.0,['Strategy']
86,0.0,2.0,ii_voltage_ii,Gilsham,0.0,Big Fish Games,2007.0,6.99,50970.0,['Casual']
87,1.0,2.0,76561198097762318,76561198006494446,14.0,Rockstar North,1998.0,,12170.0,['Action']
88,1.0,2.0,Hirukaz,76561198096500231,0.0,Rockstar North,1999.0,,12180.0,['Action']
89,1.0,2.0,StelerForYou,76561198036537566,11.0,Rockstar North,2004.0,9.99,12130.0,['Action']
90,1.0,2.0,76561198183396245,naznsan,0.0,Rockstar San Diego,2003.0,9.99,12160.0,['Racing']
91,0.0,2.0,Xx-Woods,76561198085808339,0.0,Remedy Entertainment,2003.0,9.99,12150.0,['Action']
92,1.0,2.0,kevinator23,76561198031198214,2745.0,Crystal Dynamics,2006.0,6.99,7000.0,"['Action', 'Adventure']"
93,1.0,2.0,76561198090715178,sweet2partyh,0.0,Remedy Entertainment,2001.0,9.99,12140.0,['Action']
94,1.0,2.0,CatsWhale,overrusedmale,187.0,EA Los Angeles,2008.0,19.99,17480.0,['Strategy']
95,1.0,2.0,76561198073784601,76561198071899986,0.0,Infinite Interactive,2007.0,9.99,12500.0,['Casual']
96,1.0,0.0,mimimomoma,Murderousbinkie,0.0,Momentum Digital Media Technologies,2007.0,9.99,12310.0,"['RPG', 'Casual', 'Adventure']"
97,1.0,2.0,76561198102410011,76561198085456567,1.0,"Gamebryo,Virtual Playground",2007.0,9.99,12510.0,['Strategy']
98,1.0,2.0,de_Butl3r,commandra,14.0,SCS Software,2007.0,9.99,12530.0,"['Action', 'Adventure', 'Strategy']"
99,1.0,2.0,76561198027947401,76561198065335555,234.0,SCS Software,2007.0,9.99,12520.0,['Racing']
100,1.0,2.0,Bluezap1,76561198066528445,1051.0,Pivotal Games,2008.0,5.99,8100.0,['Action']
101,1.0,2.0,76561198074200011,76561198042376148,1081.0,Bohemia Interactive,2007.0,7.99,2780.0,['Action']
102,1.0,2.0,jonasdbomb,axnkidz,0.0,,2006.0,9.99,9730.0,['Simulation']
103,1.0,2.0,L1J1N,nebuze,220.0,Spellbound,2006.0,9.99,9710.0,['Action']
104,1.0,2.0,Lord_Exploit,76561198013055159,10416.0,Haggard Games,2007.0,4.99,9800.0,"['Action', 'Adventure']"
105,0.0,1.0,AVATAR715,thugnificent,1.0,Eugen Systems,2006.0,2.99,9760.0,['Action']
106,1.0,2.0,YieuwMage,Drewmatic,0.0,"Frontier,Aspyr (Mac)",2006.0,19.99,2700.0,"['Simulation', 'Strategy']"
107,1.0,0.0,76561198078752187,76561198060622025,0.0,Eugen Systems,2005.0,2.99,2710.0,['Action']
108,1.0,2.0,A-Very-Sly-Person,76561198025228384,306.0,"Epic Games, Inc.",2003.0,14.99,13200.0,['Action']
109,1.0,0.0,76561198211054671,76561197977507720,0.0,"Epic Games, Inc.",1998.0,9.99,13250.0,['Action']
110,1.0,2.0,76561197994493402,Ticfire,0.0,Sanzaru Games,2008.0,4.99,13000.0,"['Casual', 'Indie']"
111,0.0,2.0,Koolcaz12,Xaviordoes,2096.0,Ubisoft,2003.0,9.99,13560.0,['Action']
112,1.0,2.0,76561198065656175,HiDDED,170.0,Crytek Studios,2004.0,9.99,13520.0,['Action']
113,1.0,2.0,76561198188979775,Urizar,45.0,"Epic Games, Inc.",2000.0,9.99,13240.0,['Action']
114,1.0,2.0,97396295,OmGwTfLoLrOfLmFaO,257.0,Ubisoft Montreal,2006.0,9.99,13540.0,['Action']
115,1.0,2.0,76561198126640317,76561198033879777,735.0,Ubisoft,2005.0,9.99,15210.0,['Simulation']
116,1.0,2.0,DemonicWolvz,Ravironio,1.0,Last Day of Work,2008.0,9.99,16180.0,"['Casual', 'Simulation']"
117,1.0,2.0,DieMadchenschanderin,76561198038515329,957.0,SpinTop Games,2008.0,4.99,3520.0,['Casual']
118,0.0,2.0,GGargula,enVusGaming,0.0,MumboJumbo,2008.0,9.99,15970.0,['Casual']
119,1.0,2.0,Myther43,76561198067506858,0.0,MumboJumbo,2008.0,9.99,15950.0,['Casual']
120,1.0,0.0,getf0kinn0sc0pedm9,TuDragon76a,65.0,MumboJumbo,2008.0,9.99,15960.0,['Casual']
121,1.0,2.0,76561198141443390,76561198064871658,1.0,MumboJumbo,2008.0,9.99,15900.0,['Casual']
122,1.0,0.0,76561198097333029,76561198063920172,0.0,MumboJumbo,2005.0,9.99,15910.0,['Casual']
123,1.0,2.0,whodafuqisthisguilao,Fliqi,0.0,MumboJumbo,2007.0,9.99,15930.0,['Casual']
124,1.0,2.0,Magjiikal,Sp3ctre,0.0,Ubisoft,2007.0,9.99,15160.0,['Simulation']
125,1.0,2.0,ohnospaghet,LaughingRobot,5.0,MumboJumbo,2005.0,9.99,15920.0,['Casual']
126,1.0,2.0,76561198050347115,el_yiddo,0.0,"Ubisoft Bulgaria,Ubisoft Montpellier",2007.0,9.99,15080.0,"['Action', 'Adventure']"
127,1.0,2.0,2768820078,NickMcGrath,0.0,Ubisoft Romania,2007.0,9.99,15200.0,['Simulation']
128,1.0,2.0,76561198056392326,santunch,381.0,1C: Maddox Games,2006.0,9.99,15320.0,['Simulation']
129,0.0,2.0,2d4nk4m3,XiCute,27638.0,Ubisoft Romania,2008.0,9.99,15240.0,['Simulation']
130,1.0,2.0,76561198078478151,tobsta08,14.0,Telltale Games,2005.0,9.99,8310.0,['Adventure']
131,1.0,2.0,exiaez,sven8910,0.0,"Merscom,Babylon",2005.0,9.99,12600.0,['Racing']
132,1.0,2.0,76561198095921854,Silpenis,10.0,Telltale Games,2006.0,9.99,8320.0,['Adventure']
133,1.0,2.0,EizanAratoFujimaki,finjinimo,207.0,BigAnt Studios,2008.0,9.99,12590.0,['Racing']
134,1.0,2.0,TeCool,OutdoorKitchen,5.0,Zemnott,2008.0,9.99,12580.0,
135,1.0,2.0,2xDelorean,thugnificent,0.0,Gabriel Entertainment,2007.0,9.99,12560.0,['Simulation']
136,0.0,2.0,washington_,nisid,1612.0,Zemnott,2008.0,9.99,12570.0,
137,1.0,2.0,jewxxl,76561198031135517,64.0,Zemnott,2007.0,9.99,12540.0,['Casual']
138,1.0,2.0,76561198088944293,kenessar,545.0,Frogwares,2008.0,9.99,11050.0,['Adventure']
139,1.0,2.0,76561198092540221,benjisponge,8.0,Eurocom,2008.0,,10520.0,['Sports']
140,1.0,2.0,76561198051258119,76561198042212007,0.0,Frogwares,2008.0,9.99,11040.0,"['Adventure', 'RPG']"
141,1.0,2.0,nubquake123,76561198031997074,0.0,"Luc Bernard,SilverSphereStudios",2008.0,4.99,19500.0,"['Adventure', 'Indie']"
142,1.0,2.0,Pyromanic,Laminton,2200.0,Lesta Studio,2007.0,7.99,11260.0,"['Simulation', 'Strategy']"
143,1.0,2.0,76561198109656922,paliusz,94.0,Dialogue Design,2008.0,4.99,19200.0,"['Action', 'Indie']"
144,1.0,0.0,CobRazor,bubblesnout,38.0,Bugbear Entertainment,2008.0,19.99,12360.0,['Racing']
145,1.0,2.0,relesprit,76561198026120986,302.0,Oddworld Inhabitants,1998.0,2.99,15710.0,['Adventure']
146,1.0,2.0,WitchHunter4542,76561198058571233,8.0,Oddworld Inhabitants,1997.0,2.99,15700.0,['Adventure']
147,1.0,2.0,pwrt,stverbal,240.0,SimBin,2008.0,7.99,8660.0,['Racing']
148,1.0,2.0,wantmahbody,76561198047996563,2356.0,"MicroProse Software, Inc",2001.0,4.99,7770.0,['Strategy']
149,0.0,0.0,76561198115868847,djmp300,29.0,"MicroProse Software, Inc",1997.0,4.99,7660.0,['Strategy']
150,1.0,2.0,benedictcuminherbatch,KotaKuroGG,0.0,"MicroProse Software, Inc",1993.0,4.99,7760.0,['Strategy']
151,1.0,2.0,76561198031207016,voshi_nova,6.0,GSC Game World,2008.0,9.99,20510.0,"['Action', 'RPG']"
152,1.0,0.0,76561198043458582,DocChutney,520.0,Crytek,2008.0,19.99,17330.0,['Action']
153,1.0,2.0,smashiroshh,silfe,135.0,Crytek,2007.0,19.99,17300.0,['Action']
154,1.0,2.0,shark854,mickylolz12,473.0,"MicroProse Software, Inc",1998.0,4.99,7730.0,['Strategy']
155,1.0,2.0,killbunny38,atomiclukai,6.0,CD PROJEKT RED,2008.0,9.99,20900.0,"['Action', 'RPG']"
156,0.0,2.0,76561198047630659,76561198072402200,1398.0,Introversion Software,2008.0,9.99,1530.0,['Indie']
157,1.0,2.0,1337lolroflmao,brad-y,0.0,SimBin,2008.0,2.99,8690.0,['Racing']
158,0.0,2.0,sithjjf,76561198001836842,3229.0,"Tilted Mill Entertainment, Inc.",2008.0,2.49,17120.0,"['Strategy', 'Simulation']"
159,0.0,2.0,76561198060039459,Has2Ragretz,78.0,Firaxis Games,2008.0,19.99,16810.0,['Strategy']
160,0.0,2.0,OzfurAtlas,76561198038573915,0.0,"Red Storm Entertainment,Ubisoft Montreal",2003.0,9.99,19830.0,['Action']
161,0.0,2.0,76561198065593074,tyro6,90.0,Traveller's Tales,2008.0,19.99,21000.0,"['Action', 'Adventure']"
162,0.0,2.0,76561198044169764,76561198017754022,0.0,Monte Cristo,2008.0,9.99,4460.0,"['Simulation', 'Strategy']"
163,1.0,2.0,euzi,76561198046019085,15.0,"Tilted Mill Entertainment, Inc.",2008.0,9.99,17140.0,"['RPG', 'Strategy']"
164,0.0,2.0,76561198074935997,76561198039366011,29.0,Gearbox Software,2008.0,9.99,15390.0,['Action']
165,1.0,2.0,76561197961778802,Kinkykarma,188.0,Dark Castle Software,2008.0,4.99,21300.0,"['Indie', 'Casual']"
166,1.0,2.0,lucasrash,merdehappens,76.0,Techland,2006.0,4.99,3050.0,['Racing']
167,0.0,2.0,76561198016602703,76561197966292841,795.0,Nival,2006.0,9.99,15380.0,['Strategy']
168,1.0,2.0,thisissohardtomakeoneup,76561198007864600,0.0,Gearbox Software,2005.0,9.99,19800.0,['Action']
169,1.0,2.0,76561198087010391,phrostb,0.0,Nival,2007.0,9.99,15370.0,['Strategy']
170,0.0,2.0,66666669999999,76561198081295657,16.0,Blue Byte,2008.0,19.99,19930.0,['Strategy']
171,1.0,2.0,76561198061174192,DylanVidzy,2760.0,Ubisoft,2007.0,9.99,15350.0,['Casual']
172,1.0,2.0,ReMiXOfficalSteam,76561198067910635,0.0,Red Storm Entertainment,2002.0,9.99,19810.0,['Action']
173,1.0,2.0,Wilfire77,76561198019821866,0.0,"PopCap Games, Inc.",2008.0,4.99,3540.0,['Casual']
174,1.0,2.0,76561198084390807,chaotic_demise,197.0,2D BOY,2008.0,9.99,22000.0,['Indie']
175,0.0,2.0,Mastic,76561198055915124,11016.0,Egosoft,2008.0,15.99,2820.0,"['Action', 'Simulation', 'Strategy']"
176,1.0,2.0,76561198028286104,fenetic,203.0,Sandstorm Productions,2008.0,0,1230.0,['Action']
177,1.0,2.0,tarjla,76561198038102299,58.0,Shorebound Studios,2008.0,4.99,18300.0,"['Casual', 'Indie']"
178,0.0,2.0,deathnz1,kukluxpyro,230.0,Perpetual FX Creative,2008.0,19.99,20200.0,"['Indie', 'Casual', 'Sports']"
179,1.0,2.0,readingthis4noobs,idonothack,0.0,Rockstar New England,2008.0,14.99,12200.0,"['Action', 'Adventure']"
180,1.0,2.0,76561198104393251,ceige,0.0,Ubisoft Montreal,2008.0,9.99,19900.0,['Action']
181,1.0,2.0,76561198075322986,badassadmin,0.0,Meridian4,2008.0,4.99,11240.0,"['Action', 'Indie', 'Strategy']"
182,1.0,2.0,redsncrimson,Ox2009495,2920.0,RailSimulator.com,2009.0,4.99,256522.0,['Simulation']
183,1.0,2.0,76561198151910904,76561198073817826,1505.0,RailSimulator.com,2009.0,4.99,275144.0,['Simulation']
184,1.0,2.0,H1DD3NT3RR0R,seige7,0.0,RailSimulator.com,2009.0,4.99,256521.0,['Simulation']
185,1.0,2.0,76561198071214618,76561198043789381,279.0,Reppo,2009.0,4.99,222569.0,['Simulation']
186,1.0,2.0,76561198115115631,BUNGOLE,1853.0,RailSimulator.com,2009.0,4.99,256535.0,['Simulation']
187,1.0,2.0,76561198071175142,76561198068141157,22.0,Dovetail Games,2009.0,4.99,256611.0,['Simulation']
188,1.0,2.0,t8s,76561198054646129,25511.0,Dovetail Games,2009.0,4.99,256576.0,['Simulation']
189,1.0,2.0,pikawuu2,Hav0ckSpAwns,91.0,Volition,2009.0,9.99,9480.0,['Action']
190,1.0,2.0,Sammeh00,76561198017341667,548.0,EA Redwood Shores,2008.0,19.99,17470.0,['Action']
191,1.0,0.0,Michaelele,76561198072023996,7.0,Liquid Entertainment,2008.0,9.99,12770.0,['RPG']
192,1.0,0.0,76561198045754869,commandochou,1.0,DICE,2009.0,19.99,17410.0,"['Action', 'Adventure']"
193,1.0,2.0,76561198076098774,76561198006742595,0.0,Hidden Path Entertainment,2008.0,9.99,18500.0,"['Indie', 'Strategy']"
194,1.0,2.0,76561198103253374,76561198065429060,0.0,Monolith,2009.0,14.99,16450.0,['Action']
195,1.0,2.0,76561198048417105,DontMessWithMe-,19751.0,Oxeye Game Studio,2008.0,7.99,15400.0,"['Strategy', 'Indie']"
196,1.0,2.0,76561198090842891,comquack,255.0,Inventive Dingo,2007.0,9.99,18600.0,"['Indie', 'Strategy']"
197,0.0,2.0,76561198055767971,76561198000628126,3935.0,Meridian4,2009.0,4.99,11340.0,"['Action', 'Indie']"
198,1.0,2.0,76561197998052647,76561198069488221,15.0,Black Sea Studios Ltd,2005.0,9.99,25830.0,['Strategy']
199,0.0,2.0,adohya343,76561198027267887,1.0,Realmforge Studios,2009.0,5.99,23460.0,"['Action', 'Adventure', 'Strategy']"
