,recommend,sentiment_analysis,user_id,user_id,playtime_forever,developer,year,price,id,genres
0,1.0,2.0,76561197970982479,jadziatuvok,0.0,Kotoshiro,2018.0,4.99,761140.0,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
1,1.0,2.0,js41637,rhysdog,207.0,Secret Level SRL,2018.0,0,643980.0,"['Free to Play', 'Indie', 'RPG', 'Strategy']"
2,1.0,2.0,evcentric,Hirutha,2139.0,Poolians.com,2017.0,0,670290.0,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports']"
3,1.0,2.0,doctr,fereleth,0.0,彼岸领域,2017.0,0.99,767400.0,"['Action', 'Adventure', 'Casual']"
4,1.0,2.0,maplemage,76561198006541747,0.0,Trickjump Games Ltd,2018.0,3.99,772540.0,"['Action', 'Adventure', 'Simulation']"
5,1.0,0.0,Wackky,76561198054073078,15.0,Poppermost Productions,2018.0,9.99,774276.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
6,1.0,2.0,76561198079601835,nwilt,1062.0,Poppermost Productions,2018.0,18.99,774277.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
7,1.0,2.0,MeaTCompany,pjohnston236,19.0,Poppermost Productions,2018.0,29.99,774278.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
8,1.0,0.0,76561198089393905,Macmeg1,1516.0,RewindApp,2018.0,,768800.0,"['Casual', 'Indie', 'Racing', 'Simulation']"
9,1.0,2.0,76561198156664158,76561197966604253,0.0,Stegalosaurus Game Development,2018.0,10.99,770380.0,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
10,1.0,2.0,76561198077246154,CaMzz,311.0,Copperpick Studio,2018.0,3.99,768880.0,"['Casual', 'Indie']"
11,1.0,2.0,WeiEDKrSat,76561198064953533,2892.0,Ghulam Jewel,2018.0,2.99,765320.0,"['Casual', 'Indie', 'Simulation']"
12,1.0,2.0,thequeenpanda,DopeOxide,0.0,Apillo,2018.0,1.5899999999999999,773650.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
13,1.0,2.0,death-hunter,76561198061456632,5733.0,Poppermost Productions,2018.0,14.99,774271.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
14,1.0,2.0,DJKamBer,Fordy_104,671.0,Apillo,2018.0,1.99,773690.0,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']"
15,1.0,2.0,Rainbow-Dashie,fuji34755,1465.0,Poppermost Productions,2018.0,59.99,774279.0,"['Free to Play', 'Indie', 'Simulation', 'Sports']"
16,0.0,0.0,76561198043472122,76561197995165843,1839.0,Tero Lunkka,2018.0,0.99,768060.0,"['Action', 'Adventure', 'Indie']"
17,1.0,2.0,MarbleShrine,SassyLemon,4847.0,FrozenPepper,2017.0,2.99,775880.0,"['Racing', 'Simulation', 'Sports']"
18,1.0,2.0,PPanther,76561198094589246,113.0,FrozenPepper,2017.0,2.99,775881.0,"['Racing', 'Simulation', 'Sports']"
19,1.0,2.0,devvonst,76561198099278832,1235.0,Casey Labrack,2018.0,4.99,653960.0,"['Action', 'Indie']"
20,1.0,2.0,Fr0stedLine,TheRedSkittle,0.0,,2018.0,4.99,777910.0,
21,1.0,2.0,starkillershadow553,cgwlp,0.0,Stainless Games Ltd,1997.0,9.99,282010.0,"['Action', 'Indie', 'Racing']"
22,1.0,2.0,76561198058373434,ItsMarsh,0.0,Valve,1998.0,9.99,70.0,['Action']
23,1.0,0.0,76561198048353577,76561198050495749,0.0,dev4play,2016.0,1.99,752360.0,"['Action', 'Indie', 'RPG']"
24,0.0,0.0,76561198066046412,76561198045585416,0.0,BlueLine Games,2018.0,,520680.0,"['Casual', 'Indie', 'Strategy']"
25,1.0,2.0,tru_mu_,76561198057382928,207.0,Games by Brundle,2018.0,,690410.0,['Action']
