user_id,user_url,sentiment_analysis,posted,item_id,recommend
76561197970982479,http://steamcommunity.com/profiles/76561197970982479,2,2011-11-05,1250,1
js41637,http://steamcommunity.com/id/js41637,2,2014-06-24,251610,1
evcentric,http://steamcommunity.com/id/evcentric,2,NaT,248820,1
doctr,http://steamcommunity.com/id/doctr,2,2013-10-14,250320,1
maplemage,http://steamcommunity.com/id/maplemage,2,2014-04-15,211420,1
Wackky,http://steamcommunity.com/id/Wackky,0,2014-05-05,249130,1
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,2,NaT,730,1
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,2,NaT,730,1
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,0,2015-02-01,72850,1
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,2,NaT,252950,1
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,2,NaT,440,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,2,2013-12-25,4000,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,2,2012-06-23,42910,1
death-hunter,http://steamcommunity.com/id/death-hunter,2,2015-09-05,232090,1
DJKamBer,http://steamcommunity.com/id/DJKamBer,2,2014-07-14,304930,1
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,2,2015-06-19,730,1
76561198043472122,http://steamcommunity.com/profiles/76561198043472122,0,2014-12-19,33440,0
MarbleShrine,http://steamcommunity.com/id/MarbleShrine,2,2015-02-17,220200,1
PPanther,http://steamcommunity.com/id/PPanther,2,2014-06-07,211820,1
devvonst,http://steamcommunity.com/id/devvonst,2,2014-02-12,440,1
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,2,NaT,220,1
starkillershadow553,http://steamcommunity.com/id/starkillershadow553,2,2015-02-04,238090,1
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,2,2015-01-08,8870,1
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,0,2015-10-26,368230,1
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,0,2015-12-28,359320,0
tru_mu_,http://steamcommunity.com/id/tru_mu_,2,2015-12-15,287980,1
76561198070565427,http://steamcommunity.com/profiles/76561198070565427,2,NaT,218620,1
SavageEeEe,http://steamcommunity.com/id/SavageEeEe,2,2015-11-12,221100,1
76561198076909484,http://steamcommunity.com/profiles/76561198076909484,0,2014-06-18,570,1
KanadeTheNeko,http://steamcommunity.com/id/KanadeTheNeko,2,2014-11-20,331470,1
Leaf_Light_Moscow,http://steamcommunity.com/id/Leaf_Light_Moscow,2,NaT,323370,1
GoAwayZach,http://steamcommunity.com/id/GoAwayZach,2,2014-12-29,304930,1
76561198054540475,http://steamcommunity.com/profiles/76561198054540475,2,2015-02-13,12210,1
76561198085547365,http://steamcommunity.com/profiles/76561198085547365,2,NaT,238460,1
76561198061252210,http://steamcommunity.com/profiles/76561198061252210,2,2015-05-21,730,1
OfficialShroomsy,http://steamcommunity.com/id/OfficialShroomsy,2,2013-12-06,113200,1
boydeer,http://steamcommunity.com/id/boydeer,2,2014-05-12,440,1
VVillis,http://steamcommunity.com/id/VVillis,2,2015-01-06,213670,1
76561198083226897,http://steamcommunity.com/profiles/76561198083226897,2,2015-12-22,105600,1
76561198075277292,http://steamcommunity.com/profiles/76561198075277292,2,2015-06-23,730,1
76561198028895010,http://steamcommunity.com/profiles/76561198028895010,2,2013-04-22,231180,1
76561198170198366,http://steamcommunity.com/profiles/76561198170198366,2,NaT,271290,1
diego9031,http://steamcommunity.com/id/diego9031,2,NaT,4000,1
jarrodtrim,http://steamcommunity.com/id/jarrodtrim,2,2012-02-11,440,1
76561198078738103,http://steamcommunity.com/profiles/76561198078738103,2,NaT,304930,1
76561198067936203,http://steamcommunity.com/profiles/76561198067936203,2,2015-03-12,440,1
76561198079770573,http://steamcommunity.com/profiles/76561198079770573,2,2015-10-14,1840,1
76561198087586464,http://steamcommunity.com/profiles/76561198087586464,2,2013-10-27,440,1
Derp-e,http://steamcommunity.com/id/Derp-e,2,2015-11-27,440,1
76561198070194565,http://steamcommunity.com/profiles/76561198070194565,2,2014-10-09,233250,1
Rivtex,http://steamcommunity.com/id/Rivtex,2,2015-12-23,298630,1
UTNerd24,http://steamcommunity.com/id/UTNerd24,2,2014-05-06,244210,1
sandwiches1,http://steamcommunity.com/id/sandwiches1,2,2015-11-23,417860,0
76561198138053270,http://steamcommunity.com/profiles/76561198138053270,2,2014-06-01,218620,1
lucaswerg,http://steamcommunity.com/id/lucaswerg,2,2014-07-11,218620,1
Life-Of-Blu,http://steamcommunity.com/id/Life-Of-Blu,2,2015-11-13,377160,1
CaptianAutismo,http://steamcommunity.com/id/CaptianAutismo,2,2015-12-17,252490,1
76561198075895633,http://steamcommunity.com/profiles/76561198075895633,2,2014-10-26,440,1
TheDropix101,http://steamcommunity.com/id/TheDropix101,2,NaT,242920,1
kube134,http://steamcommunity.com/id/kube134,2,2014-06-28,251990,1
iamthekingofbrowntown,http://steamcommunity.com/id/iamthekingofbrowntown,0,2015-09-12,344760,0
MainScout,http://steamcommunity.com/id/MainScout,2,NaT,550,1
yookobz,http://steamcommunity.com/id/yookobz,2,2015-11-19,377160,1
Posiblydead,http://steamcommunity.com/id/Posiblydead,2,2014-04-11,277430,1
Mossy_Gaming,http://steamcommunity.com/id/Mossy_Gaming,2,2015-09-26,440,1
76561198102421718,http://steamcommunity.com/profiles/76561198102421718,2,2015-06-12,270550,1
76561198087407319,http://steamcommunity.com/profiles/76561198087407319,0,2014-01-15,440,1
76561198056741844,http://steamcommunity.com/profiles/76561198056741844,2,2014-10-14,730,1
